source_path,file_size_bytes,corpus,code_family,prototype,code_edition,variant,city,climate_zone,system_type,foundation_type,expected_version,actual_version,version_match,source_clone_group,weather_path,weather_status,topology_status,topology_fingerprint,clean_run_status
datasets/source/All_CompleteSet/MS_Albuquerque_4B_HUD_electricfurnace.idf,156018,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Albuquerque,4B,electricfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|electricfurnace|,weather/All_epwWeather/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Albuquerque_4B_HUD_gasfurnace.idf,155995,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Albuquerque,4B,gasfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|gasfurnace|,weather/All_epwWeather/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Albuquerque_4B_HUD_heatpump.idf,158249,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Albuquerque,4B,heatpump,,8.0,8,True,manufactured_housing|MS|HUD|hud|heatpump|,weather/All_epwWeather/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Albuquerque_4B_HUD_oilfurnace.idf,155996,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Albuquerque,4B,oilfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|oilfurnace|,weather/All_epwWeather/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Albuquerque_4B_tier2_electricfurnace.idf,156052,manufactured_housing,DOE Manufactured Housing,MS,tier2,tier2,Albuquerque,4B,electricfurnace,,8.0,8,True,manufactured_housing|MS|tier2|tier2|electricfurnace|,weather/All_epwWeather/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Albuquerque_4B_tier2_gasfurnace.idf,156029,manufactured_housing,DOE Manufactured Housing,MS,tier2,tier2,Albuquerque,4B,gasfurnace,,8.0,8,True,manufactured_housing|MS|tier2|tier2|gasfurnace|,weather/All_epwWeather/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Albuquerque_4B_tier2_heatpump.idf,158283,manufactured_housing,DOE Manufactured Housing,MS,tier2,tier2,Albuquerque,4B,heatpump,,8.0,8,True,manufactured_housing|MS|tier2|tier2|heatpump|,weather/All_epwWeather/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Albuquerque_4B_tier2_oilfurnace.idf,156030,manufactured_housing,DOE Manufactured Housing,MS,tier2,tier2,Albuquerque,4B,oilfurnace,,8.0,8,True,manufactured_housing|MS|tier2|tier2|oilfurnace|,weather/All_epwWeather/USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Atlanta_3A_HUD_electricfurnace.idf,156032,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Atlanta,3A,electricfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|electricfurnace|,weather/All_epwWeather/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Atlanta_3A_HUD_gasfurnace.idf,156009,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Atlanta,3A,gasfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|gasfurnace|,weather/All_epwWeather/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Atlanta_3A_HUD_heatpump.idf,158263,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Atlanta,3A,heatpump,,8.0,8,True,manufactured_housing|MS|HUD|hud|heatpump|,weather/All_epwWeather/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Atlanta_3A_HUD_oilfurnace.idf,156010,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Atlanta,3A,oilfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|oilfurnace|,weather/All_epwWeather/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Atlanta_3A_tier2_electricfurnace.idf,156074,manufactured_housing,DOE Manufactured Housing,MS,tier2,tier2,Atlanta,3A,electricfurnace,,8.0,8,True,manufactured_housing|MS|tier2|tier2|electricfurnace|,weather/All_epwWeather/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Atlanta_3A_tier2_gasfurnace.idf,156051,manufactured_housing,DOE Manufactured Housing,MS,tier2,tier2,Atlanta,3A,gasfurnace,,8.0,8,True,manufactured_housing|MS|tier2|tier2|gasfurnace|,weather/All_epwWeather/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Atlanta_3A_tier2_heatpump.idf,158305,manufactured_housing,DOE Manufactured Housing,MS,tier2,tier2,Atlanta,3A,heatpump,,8.0,8,True,manufactured_housing|MS|tier2|tier2|heatpump|,weather/All_epwWeather/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Atlanta_3A_tier2_oilfurnace.idf,156052,manufactured_housing,DOE Manufactured Housing,MS,tier2,tier2,Atlanta,3A,oilfurnace,,8.0,8,True,manufactured_housing|MS|tier2|tier2|oilfurnace|,weather/All_epwWeather/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Baltimore_4A_HUD_electricfurnace.idf,156026,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Baltimore,4A,electricfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|electricfurnace|,weather/All_epwWeather/USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Baltimore_4A_HUD_gasfurnace.idf,156003,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Baltimore,4A,gasfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|gasfurnace|,weather/All_epwWeather/USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Baltimore_4A_HUD_heatpump.idf,158257,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Baltimore,4A,heatpump,,8.0,8,True,manufactured_housing|MS|HUD|hud|heatpump|,weather/All_epwWeather/USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,available,not_requested,,not_qualified
datasets/source/All_CompleteSet/MS_Baltimore_4A_HUD_oilfurnace.idf,156004,manufactured_housing,DOE Manufactured Housing,MS,HUD,hud,Baltimore,4A,oilfurnace,,8.0,8,True,manufactured_housing|MS|HUD|hud|oilfurnace|,weather/All_epwWeather/USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,available,not_requested,,not_qualified
