topology_fingerprint,model_count,source_clone_group_count,corpora,prototypes,code_editions,cities
015f1d17ed284a215bc6eea769ed7c27bd38d2d4624d0c3db2f2e192e35132b9,2,1,commercial_appendix_g,SchoolPrimary,2016,Dubai;NewDelhi
028b30ee361d6d1f81db2df2beb1cdb9c5c37fb1d3991f354692782891f8ca80,1,1,commercial_iecc,HotelLarge,2021,SanDiego
07abf1ea89ab7fb9fd32cea961e9ac252378b91b7aa681858e66d1076a191b99,7,1,commercial_appendix_g,OfficeLarge,2022,Atlanta;Dubai;HoChiMinh;Miami;NewDelhi;Tampa;Tucson
0878cab353a1ac134930a9b3b456cb0bd01bb5ef24818f342e5cd72a5929ed70,21,3,commercial_appendix_g,OfficeSmall,2016;2019;2022,Atlanta;Dubai;HoChiMinh;Miami;NewDelhi;Tampa;Tucson
0bf141c3c1b7b7b5c66846591ae4ebcd0107404d0501a61e883805351fd4d87a,247,13,commercial_iecc;commercial_standard,OfficeSmall,2004;2006;2007;2009;2010;2012;2013;2015;2016;2018;2019;2021;2022,Albuquerque;Atlanta;Buffalo;Denver;Dubai;ElPaso;Fairbanks;GreatFalls;HoChiMinh;InternationalFalls;Miami;NewDelhi;NewYork;PortAngeles;Rochester;SanDiego;Seattle;Tampa;Tucson
0f521cc09f31e8115f41fa17ccf7870555eb2c29ecc1cc4a46f79b1faf94f2f1,7,1,commercial_appendix_g,ApartmentMidRise,2022,Atlanta;Dubai;HoChiMinh;Miami;NewDelhi;Tampa;Tucson
134d1b30be59b0f0b27285074a05eacccbe491e5bb7a01fff9778df02e0592f6,59,5,commercial_iecc;commercial_standard,Hospital,2010;2012;2015;2018;2021,Albuquerque;Atlanta;Buffalo;Denver;Dubai;ElPaso;Fairbanks;GreatFalls;HoChiMinh;InternationalFalls;Miami;NewDelhi;NewYork;PortAngeles;Rochester;Seattle;Tampa;Tucson
1429eedf2be6400344a7ffc08b80cbeca7068e7f2a1a02ce5df8348737a9d597,2,2,commercial_standard,Hospital,2019;2022,SanDiego
14475a9075b5d95eedbe2b1def4772556130e84b5ba4a68aa24342ddfe18b39a,6,2,commercial_appendix_g,SchoolPrimary,2019;2022,Dubai;NewDelhi;Tucson
164e56310ab0f3c956a7ae534de715688d5b5f4c04ad28ac3277818ac42bb8cc,12,1,commercial_appendix_g,OfficeLarge,2022,Albuquerque;Buffalo;Denver;ElPaso;Fairbanks;GreatFalls;InternationalFalls;NewYork;PortAngeles;Rochester;SanDiego;Seattle
