scenario_name,kind,run_status,compiled_passenger_hours,reference_passenger_hours,conservation_error,occupant_hours_from_output,occupant_peak,occupant_peak_time,people_sensible_kwh,people_latent_kwh,people_radiant_kwh,synthetic_heating_kwh,synthetic_cooling_kwh,synthetic_heating_peak_kw,synthetic_heating_peak_time,synthetic_cooling_peak_kw,synthetic_cooling_peak_time,outdoor_air_heating_kwh,outdoor_air_cooling_kwh,outdoor_air_mass_flow_peak_kg_s,facility_hvac_demand_peak_kw,zone_temperature_mean_c,zone_relative_humidity_mean_pct,heating_unmet_zone_hours,cooling_unmet_zone_hours,mean_zone_occupancy_cv,available_variables,unavailable_variables,synthetic_total_thermal_kwh,output_minus_compiled_passenger_hours,synthetic_total_thermal_delta_pct,synthetic_heating_delta_pct,synthetic_cooling_delta_pct,synthetic_heating_peak_delta_pct,synthetic_cooling_peak_delta_pct
existing_baseline,existing_baseline,PASS,115063.2319064349,115063.2319064349,0.0,115063.2319064349,10860.515332994288,01/18  16:00:00,9975.904067152765,3996.805663475546,2992.771220145829,151563.99775392722,4027.6137620195705,9758.326564185132,01/18  05:00:00,670.3928895525693,01/18  14:30:00,122590.71372997134,0.0,170.4656622960433,,20.14429177342176,4.710837633255379,0.0,0.0,1.7620813033234688,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155591.6115159468,0.0,0.0,0.0,0.0,0.0,0.0
morning_peak,temporal_redistribution,PASS,115063.23190651384,115063.2319064349,7.894414011389017e-08,115063.23190651384,24970.319424142253,01/18  07:15:00,9996.599689239054,3976.11004139885,2998.9799067717167,151420.64650883785,3962.152561395269,9640.407459614977,01/18  05:00:00,660.5524745223062,01/18  14:30:00,122695.09763484438,0.0,170.46566229604332,,20.14278445870947,4.998421726701103,0.0,0.0,1.7403981773239494,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155382.79907023313,0.0,-0.13420546498566943,-0.09458133014023211,-1.6253097861965091,-1.2083947364801302,-1.4678579059558268
midday_peak,temporal_redistribution,PASS,115063.23190651384,115063.2319064349,7.894414011389017e-08,115063.23190651384,24970.319424142253,01/18  13:15:00,9974.685896844721,3998.023833793183,2992.4057690534164,151589.76226995073,4031.424890542855,9639.607637420713,01/18  05:00:00,679.2281736477556,01/18  14:30:00,122496.39780667186,0.0,170.4656622960433,,20.143696708843194,4.7795424623294664,0.0,0.0,1.7403981773239494,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155621.1871604936,0.0,0.019008508401346783,0.016999100317571254,0.09462497519557103,-1.2165910413383727,1.3179262836578054
evening_peak,temporal_redistribution,PASS,115063.23190650344,115063.2319064349,6.853952072560787e-08,115063.23190650344,21505.865963467575,01/18  19:45:00,9991.603255316944,3981.106475319693,2997.4809765950827,151421.31491765945,3955.830495491669,9653.175107307574,01/18  05:00:00,660.2176856428894,01/18  14:30:00,122660.84038774375,0.0,170.4656622960433,,20.14608155876822,4.506062402145081,0.0,0.0,1.740398177324612,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155377.14541315113,0.0,-0.13783911658611137,-0.09414032249230501,-1.7822778143430318,-1.0775562406722854,-1.5177971109554875
double_peak,temporal_redistribution,PASS,115063.23190646684,115063.2319064349,3.194145392626524e-08,115063.23190646684,13685.551067661321,01/18  19:45:00,9995.20330657714,3977.5064240550655,2998.5609919731414,151407.82784031102,3955.624963596884,9692.1259870829,01/18  05:00:00,659.7516872199858,01/18  14:30:00,122685.05731923353,0.0,170.46566229604332,,20.144615085933463,4.784739753386663,0.0,0.0,1.7403981773246917,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155363.4528039079,0.0,-0.14663946842374054,-0.10303892476480911,-1.7873808829819173,-0.6784009191207093,-1.5873083528206244
spatial_concentrated,spatial_redistribution,PASS,115063.2319064295,115063.2319064349,-5.398760549724102e-09,115063.23190642949,10860.515332994051,01/18  16:00:00,9950.291484484276,3908.3510050931127,2985.087445345283,151605.86826068757,4032.899259934846,9758.31794793198,01/18  05:00:00,671.0607908449746,01/18  14:30:00,122584.76629546679,0.0,170.46566229604332,,20.144183318327084,4.320000674011804,0.0,0.0,1.9389145578215659,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155638.7675206224,-1.4551915228366852e-11,0.030307549498433412,0.027625628368765576,0.13123149903593145,-8.829642147027121e-05,0.09962833777235791
spatial_distributed,spatial_redistribution,PASS,115063.2319064277,115063.2319064349,-7.203198038041592e-09,115063.23190642768,10860.515332989029,01/18  16:00:00,9979.72810609305,4031.2569705191936,2993.918431827915,151572.79574732043,4040.519772879155,9758.305236219214,01/18  05:00:00,671.8675132348723,01/18  14:30:00,122600.51705045486,0.0,170.4656622960433,,20.145248973733334,4.760182919891051,0.0,0.0,1.6306683833530407,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155613.3155201996,-1.4551915228366852e-11,0.013949340868270817,0.005804804256675439,0.32043814581448443,-0.00021856171524936246,0.219964099453259
morning_peak__spatial_concentrated,spatiotemporal_redistribution,PASS,115063.23190644744,115063.2319064349,1.2543750926852226e-08,115063.23190644743,24970.319424141777,01/18  07:15:00,9968.264623533578,3874.8656713245823,2990.4793870600733,151456.12500920048,3963.746246451815,9640.935655196874,01/18  05:00:00,660.6862017454022,01/18  14:30:00,122691.83337379136,0.0,170.46566229604332,,20.142606056227358,4.446131296809003,0.0,0.0,1.9769259341178993,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155419.87125565228,-1.4551915228366852e-11,-0.1103788685143352,-0.07117306637812645,-1.58574082177459,-1.2029819684361103,-1.4479103162394062
morning_peak__spatial_distributed,spatiotemporal_redistribution,PASS,115063.23190653793,115063.2319064349,1.0302755981683731e-07,115063.23190653794,24970.319424143887,01/18  07:15:00,10003.968095144626,4007.016981481045,3001.1904285433875,151412.82566553453,3967.101008415004,9640.185023791051,01/18  05:00:00,660.8709818100222,01/18  14:30:00,122696.31564764041,0.0,170.46566229604332,,20.14328588644597,5.06237193496167,0.0,0.0,1.6306683833530407,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155379.92667394952,1.4551915228366852e-11,-0.13605157754638034,-0.09974142318291614,-1.5024467881007437,-1.210674182883798,-1.420347365095442
midday_peak__spatial_concentrated,spatiotemporal_redistribution,PASS,115063.23190644744,115063.2319064349,1.2543750926852226e-08,115063.23190644743,24970.319424141777,01/18  13:15:00,9944.414750327256,3898.7155445309036,2983.3244250981766,151645.9332497774,4040.535437725696,9640.117157408717,01/18  05:00:00,680.8228240519331,01/18  14:30:00,122456.86032351526,0.0,170.46566229604332,,20.14362131966563,4.173787882356759,0.0,0.0,1.9769259341178993,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155686.46868750307,-1.4551915228366852e-11,0.06096547920036809,0.054059999118782405,0.3208270819803248,-1.2113696544063814,1.555794320301483
