simulation_scope,scenario_id,period_id,grouping,category,space_name,zone_name,space_count,floor_area_m2,design_people,person_hours,occupant_peak,occupant_peak_time,occupant_density_peak_per_m2,people_sensible_kwh,people_latent_kwh,people_radiant_kwh,heating_kwh,cooling_kwh,heating_peak_kw,heating_peak_time,cooling_peak_kw,cooling_peak_time,oa_heating_kwh,oa_cooling_kwh,oa_mass_flow_peak_kg_s,oa_mass_flow_peak_time,temperature_area_weighted_mean_c,rh_area_weighted_mean_pct,heating_unmet_zone_hours,cooling_unmet_zone_hours,available_variables,unavailable_variables
seasonal,baseline_r,shoulder,category,breakroom,,,9,1516.6932212803674,408.1387490873193,1381.549665660576,293.8598993428697,04/15  12:45:00,0.1937503875007749,110.37014379041787,55.415816088851116,33.11104313712536,515.9845538661087,0.0,65.71252663347288,04/15  06:00:00,0.0,04/15  00:15:00,563.7507446980812,0.0,4.62228882002028,04/15  00:15:00,20.911747036602446,35.60605889200829,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_r,shoulder,category,commerce_retail,,,51,13348.413025695763,2669.6826051391527,20316.284625108958,1860.2845821249691,04/15  19:30:00,0.1393637265002148,1559.4022487457714,878.5519062673035,467.82067462373135,3058.8701221438364,4047.5528372925296,413.86318278496753,04/15  05:45:00,692.349813351259,04/15  14:45:00,2917.76902681037,0.0,25.96020181065044,04/15  00:15:00,21.33002008694002,36.59184925860113,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_r,shoulder,category,dining,,,22,4713.506777109117,1885.4027108436467,11698.923820784827,1601.730295002767,04/15  19:30:00,0.3398171193433901,898.3314012418386,505.5394572523391,269.49942037255204,1694.1384960574808,1683.5276988006701,227.01502618617826,04/15  05:45:00,294.11745498061464,04/15  14:45:00,1881.3315043834734,0.0,16.014546323505318,04/15  06:45:00,21.323029963814246,36.567679605623354,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_r,shoulder,category,office,,,69,20239.356559767635,3316.4684849583873,28621.12302519089,2818.9982122146303,04/15  09:15:00,0.13928299567676547,2224.3900068475414,1551.775162704563,667.3170020542595,3728.8314802628074,1395.9831350285906,547.3156744040807,04/15  06:00:00,217.90859345370737,04/15  15:00:00,3737.790713726805,0.0,37.40667763294239,04/15  00:15:00,21.52596031906888,36.79335637259249,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_r,shoulder,category,restroom,,,27,7190.122546267738,773.9383497319058,1606.8353229463867,117.94305742997388,04/15  19:30:00,0.016403483622291805,139.01273590466045,73.08952672426271,41.70382077139801,5481.538366884296,0.0,587.0321021599318,04/15  06:00:00,0.0,04/15  00:15:00,5476.041525038177,0.0,42.07235806176744,04/15  00:15:00,20.388755558560234,35.70444158330834,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_r,shoulder,category,terminal_hall,,,126,150117.49023392878,8079.256084296528,58615.00289157131,4932.758721787308,04/15  17:30:00,0.032859320483579674,4352.4017673874305,2681.398579601121,1305.7205302162304,12470.397383238374,3782.6762361228375,2038.1986598545739,04/15  05:00:00,1078.2928152737286,04/15  15:00:00,8551.812437284554,0.0,91.49990084507995,04/15  00:15:00,21.882205253170063,34.522980653807615,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_s,shoulder,category,breakroom,,,9,1516.6932212803674,81.62774981746384,832.6030481381307,77.54636232659068,04/15  08:15:00,0.05112857447937119,63.20000813120939,36.71235764536637,18.960002439362807,109.16626011308155,3.222080210091156,18.273106261884756,04/15  06:00:00,2.9387419639470225,04/15  17:00:00,85.9564644976486,0.0,0.9244577640040568,04/15  06:45:00,21.593827206103384,36.01570838924373,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_s,shoulder,category,commerce_retail,,,51,13348.413025695763,1772.554287171465,13336.384682188525,1446.7431204648708,04/15  15:15:00,0.10838315518705353,1024.9437323755972,575.4224294870264,307.4831197126794,2555.748682534194,4053.807738156597,341.3974754993439,04/15  05:30:00,693.3576176195143,04/15  14:45:00,2262.2106944405873,0.0,20.074687548764857,04/15  06:45:00,21.351009337256492,36.078098364410735,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_s,shoulder,category,dining,,,22,4713.506777109117,507.3576469735659,4667.690352156811,481.9897646248876,04/15  08:15:00,0.10225714895874215,353.480426351002,206.6424159078152,106.04412790530051,489.04836432949975,1782.036771179462,79.23416439581337,04/15  05:30:00,302.6305080969722,04/15  14:45:00,403.36942977734446,0.0,4.309478549761474,04/15  00:15:00,21.55153043671006,36.73304503642632,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_s,shoulder,category,office,,,69,20239.356559767635,1036.4471356845213,9638.874613298649,869.3674609904442,04/15  08:15:00,0.04295430333583813,733.0319475176983,538.603702124326,219.9095842553082,1252.3145296643406,1321.1563696097517,217.32214003254373,04/15  05:00:00,218.22047520214798,04/15  14:45:00,1051.704354267324,0.0,11.584779526665308,04/15  06:45:00,21.83904118760478,35.91828858423908,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
