source_space_name,category,nearest_entrance_space,adjacency_hops,flow_distance_band,flow_phase_steps,flow_phase_minutes,is_flow_entrance,phase_basis,phase_semantics
d-b-breakroom-1,breakroom,z-u-hall-3,4,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-breakroom-2,breakroom,z-u-hall-3,5,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-breakroom-3,breakroom,z-u-hall-3,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-commerce-1,commerce_retail,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-commerce-2,commerce_retail,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-commerce-3,commerce_retail,z-u-hall-3,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-commerce-4,commerce_retail,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-commerce-5,commerce_retail,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-commerce-6,commerce_retail,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-commerce-7,commerce_retail,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-commerce-8,commerce_retail,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-dining-1,dining,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-dining-2,dining,z-u-hall-3,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-dining-3,dining,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-dining-4,dining,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-dining-5,dining,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-1,terminal_hall,z-u-hall-3,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-10,terminal_hall,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-11,terminal_hall,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-12,terminal_hall,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-13,terminal_hall,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-14,terminal_hall,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-15,terminal_hall,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-16,terminal_hall,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-17,terminal_hall,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-2,terminal_hall,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-3,terminal_hall,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-4,terminal_hall,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-5,terminal_hall,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-6,terminal_hall,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-7,terminal_hall,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-8,terminal_hall,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-hall-9,terminal_hall,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-office-1,office,z-u-hall-3,4,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-10,office,z-u-hall-3,5,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-11,office,z-u-hall-3,5,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-2,office,z-u-hall-3,4,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-3,office,z-u-hall-3,4,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-4,office,z-u-hall-3,4,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-5,office,z-u-hall-3,4,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-6,office,z-u-hall-3,4,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-7,office,z-u-hall-3,8,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-8,office,z-u-hall-3,7,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-office-9,office,z-u-hall-3,7,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
d-b-restroom-1,restroom,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-restroom-2,restroom,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-restroom-3,restroom,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
d-b-restroom-4,restroom,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-1,terminal_hall,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-10,terminal_hall,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-11,terminal_hall,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-12,terminal_hall,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-13,terminal_hall,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-2,terminal_hall,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-3,terminal_hall,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
