simulation_scope,scenario_id,period_id,grouping,category,space_name,zone_name,space_count,floor_area_m2,design_people,person_hours,occupant_peak,occupant_peak_time,occupant_density_peak_per_m2,people_sensible_kwh,people_latent_kwh,people_radiant_kwh,heating_kwh,cooling_kwh,heating_peak_kw,heating_peak_time,cooling_peak_kw,cooling_peak_time,oa_heating_kwh,oa_cooling_kwh,oa_mass_flow_peak_kg_s,oa_mass_flow_peak_time,temperature_area_weighted_mean_c,rh_area_weighted_mean_pct,heating_unmet_zone_hours,cooling_unmet_zone_hours,available_variables,unavailable_variables
seasonal,baseline_r,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126296,9907.943640414362,04/15  17:45:00,0.05026208938277975,9283.9083039177,5745.770448638452,2785.1724911752676,26949.76040245288,10909.73990724461,3849.856750081305,04/15  05:00:00,2263.2688451896365,04/15  14:45:00,23128.49595194165,0.0,217.57597349396593,04/15  06:45:00,21.732926738469864,34.996497606127264,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_s,shoulder,whole_building,,,,304,197125.5823640494,12251.18125367545,115063.23190643478,10860.515332994291,04/15  15:15:00,0.055094398214318066,8559.495343537816,5413.214387090569,2567.8486030613294,22492.00954575047,12085.323248076555,3288.4969351880663,04/15  05:00:00,2522.4433121584893,04/15  14:45:00,17856.405496101866,0.0,170.46566229604312,04/15  00:15:00,21.814295492810842,35.615865696946635,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,entrance_2_lead,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126295,9800.595112093599,04/15  17:45:00,0.04971752014405703,9293.487941289355,5736.190811266722,2788.046382386816,26928.35560564973,10875.58450909977,3848.3681874295967,04/15  05:00:00,2262.4354017001606,04/15  14:45:00,23114.321745656973,0.0,217.57597349396593,04/15  08:15:00,21.726028943027615,35.026967882657246,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,entrance_3_lead,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126286,9812.199261453974,04/15  17:45:00,0.049776386929490005,9294.000107833996,5735.678644722074,2788.2000323501993,26933.76844705751,10877.116141930717,3848.3201272422075,04/15  05:00:00,2262.2381898054227,04/15  14:45:00,23111.036099869376,0.0,217.57597349396593,04/15  06:45:00,21.72300861217214,35.0036077949157,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_core,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.7193512712,9907.943640414498,04/15  17:45:00,0.05026208938278044,9253.578855213385,5776.099897343582,2776.0736565640677,26885.95484242774,10972.17896893233,3849.0182469960746,04/15  05:00:00,2260.31042112398,04/15  14:45:00,23029.463285190708,0.0,217.57597349396593,04/15  06:45:00,21.741585866373924,35.06695537868899,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_evening,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126293,8902.624075397642,04/15  17:30:00,0.04516219543213002,9445.491451308044,5584.187301248034,2833.6474353924027,25772.42422825476,10609.046668014675,3851.5422033443456,04/15  05:45:00,2270.5701302749917,04/15  14:45:00,22602.057050902786,0.0,217.57597349396593,04/15  08:15:00,21.7043910218324,35.26063039340874,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_midday,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126296,9907.943640414362,04/15  17:45:00,0.05026208938277975,9283.9083039177,5745.770448638452,2785.1724911752676,26949.76040245288,10909.73990724461,3849.856750081305,04/15  05:00:00,2263.2688451896365,04/15  14:45:00,23128.49595194165,0.0,217.57597349396593,04/15  06:45:00,21.732926738469864,34.996497606127264,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_morning,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126296,10285.422125885283,04/15  15:30:00,0.05217700311921097,9551.385336174475,5478.293416381564,2865.4156008523883,25772.59793244775,10882.09855982364,3554.351814042261,04/15  05:00:00,2308.4216053050777,04/15  14:45:00,23240.297793540987,0.0,217.57597349396593,04/15  06:45:00,21.676652714558298,35.053995714526664,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_perimeter,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935125749,9907.943640415382,04/15  17:45:00,0.050262089382784925,9268.570013324832,5761.108739230621,2780.571003997454,26970.18355963329,10929.500086399315,3849.975346749327,04/15  05:00:00,2262.7950527987423,04/15  14:45:00,23143.73085845281,0.0,217.57597349396593,04/15  06:45:00,21.724269054323052,35.041112062005794,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_volume_0_50,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,92932.2179054773,7447.827550327039,04/15  17:45:00,0.03778214608681521,7121.719862516317,4391.058716545515,2136.515958754883,27232.926521930214,10193.910121144852,3864.4656413203165,04/15  05:00:00,2138.1188145957403,04/15  14:45:00,23176.371808397293,0.0,217.57597349396593,04/15  08:15:00,21.678456569933864,34.24995005199625,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
