source_space_name,room_category,matched_token,classification_status,thermal_zone,floor_area_m2,exterior_area_m2,design_people,people_per_m2,m2_per_person,space_type_defaulted,explicit_space_type,effective_space_type,metadata_status,metadata_conflicts,people_source_kinds,people_source_names,people_definition_names,people_calculation_methods,people_definition_values,number_schedules,activity_schedules,fraction_radiant_values,sensible_heat_fraction_values,co2_generation_rate_m3_s_person_values,oa_defaulted,oa_name,oa_method,oa_flow_per_person_m3_s_person,oa_flow_per_area_m3_s_m2,oa_flow_rate_m3_s,oa_ach_per_h,oa_schedule,source_handle
P1-1-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P1-1-commerce 1,130.757686,130.757686,21.11196,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{3a9418d4-18a9-4e2c-8c56-f52b22811bf3}
P1-1-dining 1,dining,dining,CLASSIFIED,Thermal Zone: P1-1-dining 1,143.813209,143.813209,15.479925,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{ee965843-42b7-449c-965b-8a3711316e95}
P1-1-office 1,office,office,CLASSIFIED,Thermal Zone: P1-1-office 1,109.768763,109.768763,5.61232,0.051129,19.558535,false,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 1,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 People Definition,People/Area,0.0511285744793712,Office Work Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - ClosedOffice - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{1775da27-42b3-40cb-824e-238886989abb}
P1-1-office 2,office,office,CLASSIFIED,Thermal Zone: P1-1-office 2,97.715192,97.715192,4.996038,0.051129,19.558535,false,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 1,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 People Definition,People/Area,0.0511285744793712,Office Work Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - ClosedOffice - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{db1040b4-0eed-4c9d-a654-b4b12c4b8bfa}
P1-10-restroom 1,restroom,restroom,CLASSIFIED,Thermal Zone: P1-10-restroom 1,135,135,14.531279,0.107639,9.290304,false,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8 People Definition,People/Area,0.107639104167097,Office Misc Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - Restroom - CZ4-8 Ventilation,Sum,0,0.004877,0,0,,{2a069d9c-46be-45f6-9482-9a0d49b6f03e}
P1-11-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P1-11-commerce 1,75.133929,75.133929,12.131023,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{57e44cb6-827e-4a7f-95aa-d81e9e545c7c}
P1-11-commerce 2,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P1-11-commerce 2,87.1875,87.1875,14.077177,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{ce586cfc-8a3a-407c-afd2-5c147526abce}
P1-11-office 1,office,office,CLASSIFIED,Thermal Zone: P1-11-office 1,51.026786,51.026786,2.608927,0.051129,19.558535,false,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 1,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 People Definition,People/Area,0.0511285744793712,Office Work Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - ClosedOffice - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{6d68261b-566a-42e9-a8db-7ec4a81b317f}
P1-11-office 2,office,office,CLASSIFIED,Thermal Zone: P1-11-office 2,63.080357,63.080357,3.225209,0.051129,19.558535,false,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 1,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 People Definition,People/Area,0.0511285744793712,Office Work Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - ClosedOffice - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{bf75f226-c3de-41b9-9365-a6d8080f6665}
P1-2-breakroom 1,breakroom,breakroom,CLASSIFIED,Thermal Zone: P1-2-breakroom 1,26.5625,26.5625,1.429582,0.05382,18.580608,true,,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,SOURCE_METADATA_DEFAULTED,,building_default_space_type,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 People Definition,People/Area,0.0538195520835486,Large Office Bldg Occ,Large Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{a4678978-7475-4a80-9cee-bf9c7678383f}
P1-2-dining 1,dining,dining,CLASSIFIED,Thermal Zone: P1-2-dining 1,43.526786,43.526786,4.685184,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{8e9b99a0-0b33-4b71-88ff-f7e014b7488d}
P1-2-restroom 1,restroom,restroom,CLASSIFIED,Thermal Zone: P1-2-restroom 1,148.4375,148.4375,15.97768,0.107639,9.290304,false,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8 People Definition,People/Area,0.107639104167097,Office Misc Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - Restroom - CZ4-8 Ventilation,Sum,0,0.004877,0,0,,{f2541420-0269-4e60-9ab5-e47c5a810c4a}
P1-3-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P1-3-commerce 1,53.017825,53.017825,8.560187,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{7423f7f2-ac75-46f8-99de-ed5ec84ef2fb}
P1-4-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P1-4-commerce 1,53.017825,53.017825,8.560187,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{5e7f7fc0-0a95-4d4c-aac9-32c047b08db9}
P1-4-dining 1,dining,dining,CLASSIFIED,Thermal Zone: P1-4-dining 1,53.017825,53.017825,5.706791,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{60008ca3-11f5-47cb-920c-c5060a696a70}
P1-5-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P1-5-commerce 1,70.184311,70.184311,11.331865,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{ffa4e3da-24c2-48ac-a831-9a66fd24633c}
P1-6-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P1-6-commerce 1,101.958981,101.958981,16.46216,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{09be10f9-000f-4b2c-aa3c-f29b0767afdd}
P1-7-dining 1,dining,dining,CLASSIFIED,Thermal Zone: P1-7-dining 1,35.955146,35.955146,3.87018,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{4151d9a2-61b8-42b6-bc7c-ca77dbaf9765}
P1-7-office 1,office,office,CLASSIFIED,Thermal Zone: P1-7-office 1,50.44269,50.44269,2.579063,0.051129,19.558535,false,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 1,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - ClosedOffice - CZ4-8 1,189.1-2009 - Office - ClosedOffice - CZ4-8 People Definition,People/Area,0.0511285744793712,Office Work Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - ClosedOffice - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{0f9daf0d-6bdd-44cd-9388-46e5c0c5c260}
P1-8-restroom 1,restroom,restroom,CLASSIFIED,Thermal Zone: P1-8-restroom 1,154.546965,154.546965,16.635297,0.107639,9.290304,false,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8 People Definition,People/Area,0.107639104167097,Office Misc Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - Restroom - CZ4-8 Ventilation,Sum,0,0.004877,0,0,,{9d7a6812-62cb-466c-a08e-fad225d6ec21}
