scenario_id,family,scope,group,metric,n,mean,p10,p50,p90,minimum,maximum
ARRIVAL_DOMINANT,composition,building,all_spaces,whole_building_peak_occupancy,30,9720.994929517656,9500.018823206603,9676.675156573152,9979.222996116321,9434.926377267455,10193.5628304064
ARRIVAL_DOMINANT,composition,building,all_spaces,peak_function_occupancy,30,3400.369864113324,3313.856962499999,3364.097348941941,3530.801025934219,3313.856962499999,3771.1812629946535
ARRIVAL_DOMINANT,composition,building,all_spaces,public_person_hours_bem,30,106615.00279153707,106382.30624982782,106632.64499741106,106832.16681363317,106173.99881646551,107078.56042410104
ARRIVAL_DOMINANT,composition,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
ARRIVAL_DOMINANT,composition,building,all_spaces,tracked_person_hours_including_flow_only,30,133197.82808059303,132981.3285643067,133220.61097139848,133422.33593830548,132750.9490370281,133626.13530219832
BASELINE_SPREAD,timing,building,all_spaces,whole_building_peak_occupancy,30,12941.063543240763,12632.4162036207,12888.923772346501,13239.529188729544,12523.665978978837,13489.633482240091
BASELINE_SPREAD,timing,building,all_spaces,peak_function_occupancy,30,7240.817519168966,6985.009715758147,7228.330105941872,7493.069937693105,6889.795886723206,7673.8505443410495
BASELINE_SPREAD,timing,building,all_spaces,public_person_hours_bem,30,151876.80784958586,151596.63267686707,151895.5772828727,152185.46312638558,151265.9548494815,152351.22686277106
BASELINE_SPREAD,timing,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
BASELINE_SPREAD,timing,building,all_spaces,tracked_person_hours_including_flow_only,30,178609.44738517932,178280.26262440757,178637.8891892298,178875.22513670134,177975.0941111035,179067.70996000833
DEPARTURE_DOMINANT,composition,building,all_spaces,whole_building_peak_occupancy,30,15003.255009894561,14575.104354539779,14919.239587028118,15470.94681666331,14277.050879577848,15838.938953772176
DEPARTURE_DOMINANT,composition,building,all_spaces,peak_function_occupancy,30,9488.423537005552,9105.82972446434,9421.75561864817,9981.753931326097,9061.633760463534,10188.533085177822
DEPARTURE_DOMINANT,composition,building,all_spaces,public_person_hours_bem,30,177746.8652696471,177401.0486889922,177772.01815631735,178156.59883087638,176903.19179063314,178342.77998746483
DEPARTURE_DOMINANT,composition,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
DEPARTURE_DOMINANT,composition,building,all_spaces,tracked_person_hours_including_flow_only,30,204581.33932577274,204171.14178621405,204580.77684434297,204966.8281509002,203766.55160018356,205250.2028107132
DETOUR_BASE,discretionary,building,all_spaces,whole_building_peak_occupancy,30,12941.063543240763,12632.4162036207,12888.923772346501,13239.529188729544,12523.665978978837,13489.633482240091
DETOUR_BASE,discretionary,building,all_spaces,peak_function_occupancy,30,7240.817519168966,6985.009715758147,7228.330105941872,7493.069937693105,6889.795886723206,7673.8505443410495
DETOUR_BASE,discretionary,building,all_spaces,public_person_hours_bem,30,151876.80784958586,151596.63267686707,151895.5772828727,152185.46312638558,151265.9548494815,152351.22686277106
DETOUR_BASE,discretionary,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
DETOUR_BASE,discretionary,building,all_spaces,tracked_person_hours_including_flow_only,30,178609.44738517932,178280.26262440757,178637.8891892298,178875.22513670134,177975.0941111035,179067.70996000833
DETOUR_HIGH,discretionary,building,all_spaces,whole_building_peak_occupancy,30,13001.633065344939,12701.093731198938,13006.747550622731,13250.500167930768,12535.564421390798,13375.559825335278
DETOUR_HIGH,discretionary,building,all_spaces,peak_function_occupancy,30,7111.753764390347,6894.475321646756,7120.073800643837,7281.3996648780685,6759.221822542713,7516.246475815321
DETOUR_HIGH,discretionary,building,all_spaces,public_person_hours_bem,30,151602.95431907766,151264.12349568034,151624.5026913809,151938.35277240575,150751.32942071158,152186.6440071034
DETOUR_HIGH,discretionary,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
DETOUR_HIGH,discretionary,building,all_spaces,tracked_person_hours_including_flow_only,30,178612.45645741245,178291.98522305727,178637.14808003337,178930.4454196332,177783.59744945847,179160.16135091626
