scenario_id,dimension,group,seeds,spaces_supported,space_time_intervals,spaces_over_1,ratio_over_1_count,ratio_over_1_percent,ratio_over_1_5_count,ratio_over_1_5_percent,ratio_over_2_count,ratio_over_2_percent,p50,p90,p95,p99,maximum
BASELINE_SPREAD,function,arrival_exit,5,6,2880,0,0,0.0,0,0.0,0,0.0,0.04267875529790834,0.09420454105343058,0.1393699839900795,0.2090562631901927,0.4184055703069251
BASELINE_SPREAD,function,baggage_claim,5,4,1920,4,763,39.739583333333336,197,10.260416666666666,32,1.6666666666666667,0.863312404220991,1.5027319508022279,1.6890282840305353,2.1051816412124165,2.715850733419317
BASELINE_SPREAD,function,breakroom,5,9,4320,9,68,1.574074074074074,30,0.6944444444444444,9,0.20833333333333334,0.0,0.0,0.0,1.358989744377988,3.293645953241473
BASELINE_SPREAD,function,central_hall,5,21,10080,18,3387,33.60119047619048,1867,18.5218253968254,951,9.43452380952381,0.5801892614476111,1.944865536355283,2.360037071265526,3.239334217136539,5.9897060142709275
BASELINE_SPREAD,function,commercial,5,51,24480,16,1134,4.632352941176471,1072,4.379084967320261,1011,4.129901960784314,0.0,0.0,0.2815730563342739,9.168795965164499,43.27380764764149
BASELINE_SPREAD,function,concourse,5,15,7200,15,2121,29.458333333333332,1189,16.51388888888889,645,8.958333333333334,0.5452658677174597,1.8893722853572044,2.432816695164378,3.7802558326317075,9.4144111836003
BASELINE_SPREAD,function,departure_entry,5,2,960,2,712,74.16666666666667,666,69.375,629,65.52083333333333,2.9843895485155576,4.568734677722652,5.033773910395829,5.662617429467806,6.814243478728805
BASELINE_SPREAD,function,domestic_waiting,5,63,30240,63,18743,61.980820105820115,15004,49.616402116402114,11219,37.09986772486772,1.483014701723453,3.5247881205807516,4.179059525077367,5.768628522602084,12.937558448254988
BASELINE_SPREAD,function,international_arrival,5,13,6240,7,50,0.8012820512820512,20,0.3205128205128205,11,0.1762820512820513,0.0,0.35772191681572457,0.5752850013994825,0.89273478967165,2.1598457781340006
BASELINE_SPREAD,function,international_hall,5,2,960,0,0,0.0,0,0.0,0,0.0,0.024164253217552917,0.05072594924905499,0.06082915522434444,0.0801752843385021,0.1081224869195979
BASELINE_SPREAD,function,office,5,65,31200,65,7689,24.644230769230766,4564,14.62820512820513,1853,5.939102564102564,0.0,1.7898067147653727,2.160682634681736,3.1314147732130406,4.623896848898278
BASELINE_SPREAD,function,restaurant,5,22,10560,6,445,4.214015151515151,377,3.5700757575757573,309,2.9261363636363638,0.0,0.0,0.3321283527033533,4.806968091451255,17.366124592548054
BASELINE_SPREAD,function,transfer,5,3,1440,0,0,0.0,0,0.0,0,0.0,0.12362470397979114,0.2898063898691624,0.3601316145669016,0.4948484438502069,0.7796167205992971
BASELINE_SPREAD,hvac_group,hvac_group_01,5,12,5760,12,1279,22.20486111111111,502,8.715277777777777,64,1.1111111111111112,0.0,1.4956790462916918,1.6602951909427444,2.2114084314234344,2.948544575231245
BASELINE_SPREAD,hvac_group,hvac_group_02,5,14,6720,6,1475,21.949404761904763,863,12.842261904761903,661,9.836309523809524,0.07118155111378505,1.9496626372962256,3.518382028694011,4.8224699592306495,6.814243478728805
BASELINE_SPREAD,hvac_group,hvac_group_03,5,2,960,2,287,29.895833333333332,124,12.916666666666668,0,0.0,0.0,1.570008865437232,1.6643132169389976,1.8840106385246793,1.8840106385246793
BASELINE_SPREAD,hvac_group,hvac_group_04,5,41,19680,17,3112,15.813008130081302,1685,8.5619918699187,839,4.263211382113822,0.024593623899502138,1.3747771699038076,1.8723848956266222,2.840080454641723,5.9897060142709275
BASELINE_SPREAD,hvac_group,hvac_group_05,5,14,6720,14,1268,18.86904761904762,801,11.919642857142858,315,4.6875,0.0,1.8090796146759773,1.9984563434429734,3.005259222237078,4.623896848898278
BASELINE_SPREAD,hvac_group,hvac_group_06,5,30,14400,17,4295,29.82638888888889,3197,22.20138888888889,2274,15.791666666666668,0.0,2.5691944102646964,3.2492130600327593,4.994381183681668,12.937558448254988
BASELINE_SPREAD,hvac_group,hvac_group_07,5,20,9600,20,2182,22.729166666666668,1528,15.916666666666668,821,8.552083333333334,0.0,1.811362203809819,2.4886244772725696,3.2216520865776714,3.5787597408149034
BASELINE_SPREAD,hvac_group,hvac_group_08,5,27,12960,18,3950,30.478395061728396,2960,22.839506172839506,2134,16.46604938271605,0.14320841140637558,2.5916666383092717,3.330040198599126,4.9411446377916475,10.35004675860399
BASELINE_SPREAD,hvac_group,hvac_group_09,5,6,2880,6,793,27.534722222222225,348,12.083333333333334,61,2.118055555555556,0.0,1.6285643193545747,1.9843454865269463,2.2558039490838384,2.3812145838323358
BASELINE_SPREAD,hvac_group,hvac_group_10,5,13,6240,7,50,0.8012820512820512,20,0.3205128205128205,11,0.1762820512820513,0.0,0.35772191681572457,0.5752850013994825,0.89273478967165,2.1598457781340006
BASELINE_SPREAD,hvac_group,hvac_group_11,5,6,2880,6,545,18.92361111111111,414,14.374999999999998,224,7.777777777777778,0.0,1.8193490821130403,2.441771491582664,3.8965923481686167,3.8965923481686167
BASELINE_SPREAD,hvac_group,hvac_group_12,5,45,21600,45,8240,38.148148148148145,6632,30.703703703703706,5180,23.98148148148148,0.0,3.5005965157740113,4.895347005630185,9.855994709438818,43.27380764764149
BASELINE_SPREAD,hvac_group,hvac_group_13,5,14,6720,14,1403,20.87797619047619,877,13.050595238095239,377,5.6101190476190474,0.0,1.7223415791411312,2.160682634681736,2.9204839934882134,3.1813026840000003
BASELINE_SPREAD,hvac_group,hvac_group_14,5,32,15360,21,6233,40.579427083333336,5035,32.77994791666667,3708,24.140625,0.4474152068980847,3.083920871142116,3.7143441230518097,5.175023379301995,8.040102374646874
BASELINE_SPREAD,region,central_sector_1,5,26,12480,18,2754,22.067307692307693,1365,10.9375,725,5.809294871794872,0.02850675848275772,1.5191892976023833,2.509652653398891,4.366269159732001,6.814243478728805
BASELINE_SPREAD,region,central_sector_2,5,43,20640,19,3399,16.468023255813954,1809,8.76453488372093,839,4.0649224806201545,0.01775859366434937,1.4093338167534741,1.857367810500955,2.815614276624969,5.9897060142709275
BASELINE_SPREAD,region,northeast_pier,5,44,21120,31,5563,26.339962121212125,3998,18.929924242424242,2589,12.258522727272728,0.0,2.2369608359179143,2.9372406746539568,4.623896848898278,12.937558448254988
BASELINE_SPREAD,region,northwest_pier,5,47,22560,38,6132,27.180851063829785,4488,19.893617021276597,2955,13.09840425531915,0.0,2.3345051765210876,3.0280650088414447,4.360998782061056,10.35004675860399
BASELINE_SPREAD,region,south_central_pier,5,19,9120,13,843,9.243421052631579,368,4.035087719298246,72,0.7894736842105263,0.0,0.7839239352007475,1.3469594400975513,1.9843454865269463,2.3812145838323358
BASELINE_SPREAD,region,southeast_pier,5,51,24480,51,8785,35.88643790849673,7046,28.782679738562088,5404,22.07516339869281,0.0,3.343917892560271,4.632099061190654,9.338426904470662,43.27380764764149
BASELINE_SPREAD,region,southwest_pier,5,46,22080,35,7636,34.583333333333336,5912,26.77536231884058,4085,18.50090579710145,0.0,2.740495921905042,3.3988550933717128,4.75653027933125,8.040102374646874
BASELINE_SPREAD,whole_model,whole_model,5,276,132480,205,35112,26.503623188405793,24986,18.86020531400966,16669,12.58227657004831,0.0,2.3197267176997904,3.1314147732130406,5.1774222536470855,43.27380764764149
DOUBLE_BANK,function,arrival_exit,5,6,2880,0,0,0.0,0,0.0,0,0.0,0.010438750588020648,0.14142676957145955,0.1740713286317094,0.2787403283975795,0.5144707056705201
DOUBLE_BANK,function,baggage_claim,5,4,1920,4,658,34.270833333333336,585,30.46875,448,23.333333333333332,0.23235474312504895,2.6334997989869566,2.893087577970049,3.5076693966978376,4.843524578167537
DOUBLE_BANK,function,breakroom,5,9,4320,9,68,1.574074074074074,30,0.6944444444444444,9,0.20833333333333334,0.0,0.0,0.0,1.358989744377988,3.293645953241473
DOUBLE_BANK,function,central_hall,5,21,10080,21,2746,27.24206349206349,2217,21.99404761904762,1708,16.944444444444446,0.2039614287180026,2.7945671210573435,3.658338225520864,4.977877774333361,7.795988584350004
DOUBLE_BANK,function,commercial,5,51,24480,16,1036,4.23202614379085,975,3.9828431372549016,929,3.7949346405228757,0.0,0.0,0.0,9.973158484522024,49.582515017402415
DOUBLE_BANK,function,concourse,5,15,7200,15,1942,26.97222222222222,1411,19.59722222222222,1022,14.194444444444446,0.0,2.438652534281102,3.351370419227597,5.701252018101752,12.798206426900348
DOUBLE_BANK,function,departure_entry,5,2,960,2,390,40.625,345,35.9375,326,33.958333333333336,0.6696017991206542,7.701540759302438,8.202418727435298,9.249033641537432,9.921501323396262
DOUBLE_BANK,function,domestic_waiting,5,63,30240,63,12771,42.232142857142854,11162,36.911375661375665,9981,33.00595238095238,0.5942761634587614,4.983221168407986,5.954766532035712,8.187313668524405,17.49884026170601
DOUBLE_BANK,function,international_arrival,5,13,6240,12,104,1.6666666666666667,27,0.4326923076923077,18,0.2884615384615385,0.0,0.42671589600068516,0.6209066394959144,1.170800376708985,2.1598457781340006
DOUBLE_BANK,function,international_hall,5,2,960,0,0,0.0,0,0.0,0,0.0,0.010719528012312764,0.08184905161009046,0.097927359263391,0.12123967867869598,0.1698497331878639
DOUBLE_BANK,function,office,5,65,31200,65,7689,24.644230769230766,4564,14.62820512820513,1853,5.939102564102564,0.0,1.7898067147653727,2.160682634681736,3.1314147732130406,4.623896848898278
DOUBLE_BANK,function,restaurant,5,22,10560,6,404,3.8257575757575752,335,3.172348484848485,283,2.679924242424242,0.0,0.0,0.0,5.125636703669446,18.31769519421901
DOUBLE_BANK,function,transfer,5,3,1440,0,0,0.0,0,0.0,0,0.0,0.009367491171294285,0.43574100278265165,0.5241481446521249,0.7171608842388636,0.9750894527963948
DOUBLE_BANK,hvac_group,hvac_group_01,5,12,5760,12,1279,22.20486111111111,502,8.715277777777777,64,1.1111111111111112,0.0,1.4956790462916918,1.6602951909427444,2.2114084314234344,2.948544575231245
DOUBLE_BANK,hvac_group,hvac_group_02,5,14,6720,6,1048,15.595238095238095,930,13.839285714285715,774,11.517857142857142,0.028469722035478037,2.2483912720050205,3.535075967493741,7.93388901671341,9.921501323396262
DOUBLE_BANK,hvac_group,hvac_group_03,5,2,960,2,287,29.895833333333332,124,12.916666666666668,0,0.0,0.0,1.570008865437232,1.6643132169389976,1.8840106385246793,1.8840106385246793
DOUBLE_BANK,hvac_group,hvac_group_04,5,41,19680,20,2571,13.064024390243903,2058,10.457317073170731,1572,7.987804878048781,0.0,1.5836628684483136,2.6997119264607816,4.357966938168207,7.795988584350004
DOUBLE_BANK,hvac_group,hvac_group_05,5,14,6720,14,1268,18.86904761904762,801,11.919642857142858,315,4.6875,0.0,1.8090796146759773,1.9984563434429734,3.005259222237078,4.623896848898278
DOUBLE_BANK,hvac_group,hvac_group_06,5,30,14400,17,3034,21.069444444444443,2564,17.805555555555554,2198,15.263888888888888,0.0,3.189135782743785,4.793153485991158,7.2405097465585015,17.49884026170601
DOUBLE_BANK,hvac_group,hvac_group_07,5,20,9600,20,2182,22.729166666666668,1528,15.916666666666668,821,8.552083333333334,0.0,1.811362203809819,2.4886244772725696,3.2216520865776714,3.5787597408149034
DOUBLE_BANK,hvac_group,hvac_group_08,5,27,12960,18,2980,22.993827160493826,2432,18.765432098765434,2070,15.972222222222221,0.0,3.2304236461040956,4.723895854156226,6.918781618045596,12.935407207251382
DOUBLE_BANK,hvac_group,hvac_group_09,5,6,2880,6,793,27.534722222222225,348,12.083333333333334,61,2.118055555555556,0.0,1.6285643193545747,1.9843454865269463,2.2558039490838384,2.3812145838323358
DOUBLE_BANK,hvac_group,hvac_group_10,5,13,6240,12,104,1.6666666666666667,27,0.4326923076923077,18,0.2884615384615385,0.0,0.42671589600068516,0.6209066394959144,1.170800376708985,2.1598457781340006
DOUBLE_BANK,hvac_group,hvac_group_11,5,6,2880,6,545,18.92361111111111,414,14.374999999999998,224,7.777777777777778,0.0,1.8193490821130403,2.441771491582664,3.8965923481686167,3.8965923481686167
DOUBLE_BANK,hvac_group,hvac_group_12,5,45,21600,45,6067,28.087962962962965,5288,24.48148148148148,4723,21.86574074074074,0.0,4.5413319062857544,6.023906171276947,10.962519946084653,49.582515017402415
DOUBLE_BANK,hvac_group,hvac_group_13,5,14,6720,14,1403,20.87797619047619,877,13.050595238095239,377,5.6101190476190474,0.0,1.7223415791411312,2.160682634681736,2.9204839934882134,3.1813026840000003
